,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
0,0.0,1269.0,312.0,1269.0,550.0,387.0,2027.0,475.0,654.0,2063.0,613.0,311.0,399.0,469.0,654.0,761.0,596.0,654.0,581.0,311.0,662.0,825.0,700.0,558.0,635.0,913.0,502.0,2027.0,582.0,2027.0,822.0,815.0,786.0,2027.0,439.0,554.0,554.0,554.0,554.0,554.0,354.0,519.0,959.0,455.0,551.0,327.0,554.0,456.0,635.0,369.0,1670.0,1317.0,1696.0,1739.0,1906.0,1820.0,1730.0,1876.0,1980.0,1876.0,2050.0,1344.0,1975.0,1762.0,1822.0,1700.0,1829.0,2006.0,1635.0,1832.0,1811.0,1670.0,1963.0,1911.0,1640.0,1666.0,1876.0,1980.0,1905.0,1730.0,1975.0,1975.0,1824.0,1885.0,1876.0,1876.0,1876.0,1904.0,1876.0,1828.0,1866.0,1876.0,1344.0,1850.0,1885.0,1730.0,1661.0,1828.0,1980.0,1651.0,2645.0,2622.0,1896.0,2139.0,1868.0,2184.0,2622.0,1977.0,1887.0,1777.0,1839.0,1882.0,1987.0,2622.0,2084.0,2284.0,2668.0,2680.0,2529.0,2284.0,1887.0,2749.0,2486.0,2474.0,2284.0,2557.0,2322.0,2635.0,2216.0,2359.0,1882.0,2622.0,2322.0,1911.0,2622.0,725.0,2406.0,2125.0,2668.0,2487.0,2411.0,2668.0,2512.0,2369.0,2422.0,2622.0,2622.0,2622.0,2501.0,2216.0,2027.0,3848.0,3936.0,3953.0,4024.0,4074.0,3806.0,2027.0,2027.0,2027.0,2027.0,4345.0,2027.0,3414.0,2027.0,2027.0,4345.0,2027.0,978.0,978.0,3050.0,2295.0,2431.0,2431.0,2547.0,2346.0,2295.0,2616.0,2627.0,2489.0,2338.0,2543.0,2338.0,2618.0,2537.0,2834.0,2488.0,2641.0,2734.0,2934.0,2898.0,2482.0,2547.0,2734.0,2559.0,2547.0,2860.0,2547.0,2559.0,2898.0,2470.0,2358.0,2559.0,2686.0,2431.0,2361.0,2799.0,2547.0,2338.0,2771.0,2450.0,2583.0,2338.0,2547.0,3025.0,8161.0,2338.0,2547.0
1,1133.0,0.0,1379.0,0.0,1483.0,1320.0,1807.0,1427.0,1605.0,2813.0,1546.0,1378.0,1315.0,1402.0,1565.0,1679.0,1529.0,1605.0,1533.0,1378.0,1613.0,1739.0,1633.0,1635.0,1568.0,1842.0,1454.0,1807.0,1597.0,1807.0,1755.0,1608.0,1579.0,1807.0,1523.0,1484.0,1484.0,1484.0,1484.0,1484.0,1421.0,1470.0,1889.0,1442.0,1502.0,1328.0,1484.0,1408.0,1529.0,1284.0,2603.0,1544.0,2656.0,2699.0,2865.0,2779.0,2690.0,2835.0,2940.0,2835.0,3010.0,1196.0,2934.0,2721.0,2782.0,2660.0,2788.0,2965.0,2595.0,2792.0,2770.0,2630.0,2923.0,2871.0,2599.0,2626.0,2835.0,2940.0,2864.0,2690.0,2934.0,2934.0,2784.0,2844.0,2835.0,2835.0,2835.0,2864.0,2835.0,2787.0,2826.0,2835.0,1196.0,2809.0,2844.0,2690.0,2621.0,2787.0,2940.0,2611.0,2913.0,2648.0,1945.0,2163.0,1908.0,2081.0,2648.0,1874.0,1927.0,1826.0,1888.0,1923.0,1884.0,2648.0,1981.0,2549.0,2662.0,2890.0,2507.0,2549.0,1927.0,2878.0,2797.0,2759.0,2549.0,2535.0,2635.0,2611.0,2721.0,2504.0,1923.0,2648.0,2635.0,1960.0,2648.0,1140.0,2824.0,2023.0,2662.0,2782.0,2829.0,2662.0,2631.0,2538.0,2711.0,2648.0,2648.0,2648.0,2801.0,2721.0,1807.0,4124.0,4110.0,4017.0,4375.0,4247.0,4153.0,1807.0,1807.0,1807.0,1807.0,4693.0,1807.0,4163.0,1807.0,1807.0,4693.0,1807.0,1911.0,1911.0,3847.0,3254.0,3390.0,3390.0,3507.0,3306.0,3254.0,3575.0,3587.0,3448.0,3297.0,3502.0,3297.0,3577.0,3497.0,3817.0,3448.0,3600.0,3693.0,3574.0,3858.0,3441.0,3507.0,3693.0,3519.0,3507.0,3819.0,3507.0,3519.0,3858.0,3429.0,3317.0,3519.0,3645.0,3390.0,3321.0,3759.0,3507.0,3297.0,3547.0,3410.0,3543.0,3297.0,3507.0,3567.0,7644.0,3297.0,3507.0
2,363.0,1474.0,0.0,1474.0,377.0,214.0,1836.0,252.0,431.0,1839.0,440.0,88.0,252.0,295.0,430.0,537.0,423.0,431.0,358.0,88.0,438.0,683.0,527.0,335.0,462.0,770.0,279.0,1836.0,358.0,1836.0,649.0,895.0,685.0,1836.0,242.0,412.0,412.0,412.0,412.0,412.0,185.0,296.0,817.0,319.0,328.0,181.0,412.0,233.0,411.0,212.0,1496.0,1148.0,1472.0,1516.0,1682.0,1596.0,1506.0,1652.0,1757.0,1652.0,1826.0,1487.0,1751.0,1538.0,1598.0,1476.0,1605.0,1782.0,1411.0,1609.0,1587.0,1446.0,1740.0,1687.0,1416.0,1443.0,1652.0,1757.0,1681.0,1506.0,1751.0,1751.0,1601.0,1661.0,1652.0,1652.0,1652.0,1680.0,1652.0,1604.0,1642.0,1652.0,1487.0,1626.0,1661.0,1506.0,1438.0,1604.0,1757.0,1427.0,2421.0,2398.0,1802.0,2044.0,1773.0,2089.0,2398.0,1882.0,1793.0,1683.0,1745.0,1788.0,1892.0,2398.0,1990.0,2060.0,2444.0,2456.0,2435.0,2060.0,1793.0,2526.0,2262.0,2250.0,2060.0,2453.0,2099.0,2411.0,1992.0,2135.0,1788.0,2398.0,2099.0,1817.0,2398.0,927.0,2182.0,2031.0,2444.0,2263.0,2187.0,2444.0,2288.0,2145.0,2198.0,2398.0,2398.0,2398.0,2278.0,1992.0,1836.0,3624.0,3713.0,3730.0,3800.0,3850.0,3582.0,1836.0,1836.0,1836.0,1836.0,4122.0,1836.0,3190.0,1836.0,1836.0,4122.0,1836.0,805.0,805.0,2826.0,2071.0,2207.0,2207.0,2324.0,2122.0,2071.0,2392.0,2403.0,2265.0,2114.0,2319.0,2114.0,2394.0,2313.0,2610.0,2264.0,2417.0,2510.0,2711.0,2675.0,2258.0,2324.0,2510.0,2335.0,2324.0,2636.0,2324.0,2335.0,2675.0,2246.0,2134.0,2335.0,2462.0,2207.0,2137.0,2575.0,2324.0,2114.0,2547.0,2226.0,2359.0,2114.0,2324.0,2801.0,8297.0,2114.0,2324.0
3,1133.0,0.0,1379.0,0.0,1483.0,1320.0,1807.0,1427.0,1605.0,2813.0,1546.0,1378.0,1315.0,1402.0,1565.0,1679.0,1529.0,1605.0,1533.0,1378.0,1613.0,1739.0,1633.0,1635.0,1568.0,1842.0,1454.0,1807.0,1597.0,1807.0,1755.0,1608.0,1579.0,1807.0,1523.0,1484.0,1484.0,1484.0,1484.0,1484.0,1421.0,1470.0,1889.0,1442.0,1502.0,1328.0,1484.0,1408.0,1529.0,1284.0,2603.0,1544.0,2656.0,2699.0,2865.0,2779.0,2690.0,2835.0,2940.0,2835.0,3010.0,1196.0,2934.0,2721.0,2782.0,2660.0,2788.0,2965.0,2595.0,2792.0,2770.0,2630.0,2923.0,2871.0,2599.0,2626.0,2835.0,2940.0,2864.0,2690.0,2934.0,2934.0,2784.0,2844.0,2835.0,2835.0,2835.0,2864.0,2835.0,2787.0,2826.0,2835.0,1196.0,2809.0,2844.0,2690.0,2621.0,2787.0,2940.0,2611.0,2913.0,2648.0,1945.0,2163.0,1908.0,2081.0,2648.0,1874.0,1927.0,1826.0,1888.0,1923.0,1884.0,2648.0,1981.0,2549.0,2662.0,2890.0,2507.0,2549.0,1927.0,2878.0,2797.0,2759.0,2549.0,2535.0,2635.0,2611.0,2721.0,2504.0,1923.0,2648.0,2635.0,1960.0,2648.0,1140.0,2824.0,2023.0,2662.0,2782.0,2829.0,2662.0,2631.0,2538.0,2711.0,2648.0,2648.0,2648.0,2801.0,2721.0,1807.0,4124.0,4110.0,4017.0,4375.0,4247.0,4153.0,1807.0,1807.0,1807.0,1807.0,4693.0,1807.0,4163.0,1807.0,1807.0,4693.0,1807.0,1911.0,1911.0,3847.0,3254.0,3390.0,3390.0,3507.0,3306.0,3254.0,3575.0,3587.0,3448.0,3297.0,3502.0,3297.0,3577.0,3497.0,3817.0,3448.0,3600.0,3693.0,3574.0,3858.0,3441.0,3507.0,3693.0,3519.0,3507.0,3819.0,3507.0,3519.0,3858.0,3429.0,3317.0,3519.0,3645.0,3390.0,3321.0,3759.0,3507.0,3297.0,3547.0,3410.0,3543.0,3297.0,3507.0,3567.0,7644.0,3297.0,3507.0
4,686.0,1544.0,433.0,1544.0,0.0,397.0,1854.0,373.0,551.0,1700.0,199.0,407.0,521.0,332.0,78.0,235.0,85.0,551.0,478.0,407.0,288.0,803.0,235.0,243.0,221.0,891.0,366.0,1854.0,153.0,1854.0,311.0,1022.0,806.0,1854.0,438.0,533.0,533.0,533.0,533.0,533.0,393.0,416.0,937.0,515.0,382.0,323.0,533.0,353.0,148.0,284.0,1159.0,999.0,1296.0,1339.0,1505.0,1419.0,1330.0,1476.0,1580.0,1476.0,1650.0,1756.0,1575.0,1361.0,1422.0,1300.0,1428.0,1606.0,1235.0,1432.0,1411.0,1270.0,1563.0,1511.0,1239.0,1266.0,1476.0,1580.0,1504.0,1330.0,1575.0,1575.0,1424.0,1484.0,1476.0,1476.0,1476.0,1504.0,1476.0,1427.0,1466.0,1476.0,1756.0,1450.0,1484.0,1330.0,1261.0,1427.0,1580.0,1251.0,2282.0,2259.0,1738.0,1981.0,1710.0,2026.0,2259.0,1819.0,1729.0,1619.0,1681.0,1724.0,1829.0,2259.0,1926.0,1921.0,2305.0,2316.0,2371.0,1921.0,1729.0,2386.0,2122.0,2110.0,1921.0,2313.0,1959.0,2271.0,1852.0,1995.0,1724.0,2259.0,1959.0,1753.0,2259.0,998.0,2043.0,1967.0,2305.0,2124.0,2047.0,2305.0,2149.0,2005.0,2058.0,2259.0,2259.0,2259.0,2138.0,1852.0,1854.0,3448.0,3536.0,3553.0,3623.0,3674.0,3405.0,1854.0,1854.0,1854.0,1854.0,3945.0,1854.0,3013.0,1854.0,1854.0,3945.0,1854.0,467.0,467.0,2650.0,1894.0,2030.0,2030.0,2147.0,1946.0,1894.0,2215.0,2227.0,2088.0,1938.0,2143.0,1938.0,2217.0,2137.0,2434.0,2088.0,2240.0,2333.0,2534.0,2498.0,2081.0,2147.0,2333.0,2159.0,2147.0,2459.0,2147.0,2159.0,2498.0,2070.0,1957.0,2159.0,2285.0,2030.0,1961.0,2399.0,2147.0,1938.0,2370.0,2050.0,2183.0,1938.0,2147.0,2625.0,8367.0,1938.0,2147.0
5,595.0,1577.0,327.0,1577.0,163.0,0.0,1978.0,356.0,534.0,1823.0,225.0,317.0,415.0,81.0,245.0,359.0,208.0,534.0,462.0,317.0,424.0,787.0,313.0,314.0,247.0,874.0,383.0,1978.0,277.0,1978.0,435.0,998.0,789.0,1978.0,332.0,516.0,516.0,516.0,516.0,516.0,288.0,399.0,921.0,409.0,431.0,284.0,516.0,337.0,208.0,316.0,1282.0,1123.0,1419.0,1463.0,1629.0,1543.0,1453.0,1599.0,1704.0,1599.0,1774.0,1650.0,1698.0,1485.0,1545.0,1423.0,1552.0,1729.0,1358.0,1556.0,1534.0,1393.0,1687.0,1634.0,1363.0,1390.0,1599.0,1704.0,1628.0,1453.0,1698.0,1698.0,1548.0,1608.0,1599.0,1599.0,1599.0,1627.0,1599.0,1551.0,1589.0,1599.0,1650.0,1573.0,1608.0,1453.0,1385.0,1551.0,1704.0,1374.0,2405.0,2382.0,1862.0,2104.0,1833.0,2149.0,2382.0,1942.0,1852.0,1742.0,1805.0,1848.0,1952.0,2382.0,2050.0,2044.0,2428.0,2440.0,2495.0,2044.0,1852.0,2509.0,2246.0,2234.0,2044.0,2437.0,2083.0,2395.0,1976.0,2119.0,1848.0,2382.0,2083.0,1876.0,2382.0,1031.0,2166.0,2091.0,2428.0,2247.0,2171.0,2428.0,2272.0,2129.0,2182.0,2382.0,2382.0,2382.0,2261.0,1976.0,1978.0,3571.0,3660.0,3677.0,3747.0,3798.0,3529.0,1978.0,1978.0,1978.0,1978.0,4069.0,1978.0,3137.0,1978.0,1978.0,4069.0,1978.0,591.0,591.0,2773.0,2018.0,2154.0,2154.0,2271.0,2069.0,2018.0,2339.0,2350.0,2212.0,2061.0,2266.0,2061.0,2341.0,2260.0,2557.0,2212.0,2364.0,2457.0,2658.0,2622.0,2205.0,2271.0,2457.0,2282.0,2271.0,2583.0,2271.0,2282.0,2622.0,2193.0,2081.0,2282.0,2409.0,2154.0,2085.0,2522.0,2271.0,2061.0,2494.0,2173.0,2306.0,2061.0,2271.0,2748.0,8400.0,2061.0,2271.0
6,1674.0,1554.0,1613.0,1554.0,1750.0,1760.0,0.0,1865.0,2044.0,1466.0,1747.0,1701.0,1464.0,1779.0,1671.0,1609.0,1681.0,2044.0,1971.0,1701.0,1803.0,2296.0,1618.0,1542.0,1679.0,2383.0,1892.0,0.0,1585.0,0.0,1697.0,2293.0,2298.0,0.0,1595.0,2025.0,2025.0,2025.0,2025.0,2025.0,1627.0,1909.0,2430.0,1516.0,1941.0,1794.0,2025.0,1846.0,1663.0,1799.0,2169.0,729.0,1877.0,1920.0,2086.0,2000.0,1910.0,2056.0,2161.0,2056.0,2146.0,654.0,2155.0,1942.0,2002.0,1881.0,2009.0,2186.0,1816.0,2013.0,1991.0,1851.0,2144.0,2092.0,1751.0,1847.0,2056.0,2161.0,2085.0,1910.0,2155.0,2155.0,2005.0,2065.0,2056.0,2056.0,2056.0,2085.0,2056.0,2008.0,2047.0,2056.0,654.0,2030.0,2065.0,1910.0,1842.0,2008.0,2161.0,1832.0,1492.0,1227.0,581.0,742.0,367.0,660.0,1227.0,453.0,386.0,461.0,524.0,382.0,463.0,1227.0,561.0,1129.0,1241.0,1469.0,1086.0,1129.0,386.0,1457.0,1376.0,1338.0,1129.0,1114.0,1214.0,1190.0,1300.0,1083.0,382.0,1227.0,1214.0,595.0,1227.0,1926.0,1403.0,602.0,1241.0,1362.0,1408.0,1241.0,1210.0,1117.0,1290.0,1227.0,1227.0,1227.0,1380.0,1300.0,0.0,2704.0,2689.0,2596.0,2954.0,2827.0,2732.0,0.0,0.0,0.0,0.0,3272.0,0.0,2742.0,0.0,0.0,3272.0,0.0,1864.0,1864.0,2426.0,2390.0,2526.0,2526.0,2578.0,2442.0,2390.0,2711.0,2723.0,2358.0,2433.0,2486.0,2433.0,2713.0,2410.0,2396.0,2584.0,2736.0,2753.0,2153.0,2736.0,2478.0,2578.0,2753.0,2620.0,2578.0,2878.0,2578.0,2620.0,2736.0,2466.0,2453.0,2620.0,2431.0,2526.0,2457.0,2895.0,2578.0,2433.0,2126.0,2546.0,2679.0,2433.0,2578.0,2146.0,8534.0,2433.0,2578.0
7,492.0,1402.0,308.0,1402.0,320.0,157.0,1970.0,0.0,178.0,1965.0,382.0,302.0,387.0,238.0,402.0,516.0,365.0,178.0,106.0,302.0,378.0,492.0,470.0,471.0,404.0,580.0,94.0,1970.0,434.0,1970.0,592.0,704.0,495.0,1970.0,359.0,269.0,269.0,269.0,269.0,269.0,315.0,43.0,626.0,443.0,75.0,115.0,269.0,19.0,365.0,91.0,1361.0,1280.0,1576.0,1620.0,1786.0,1700.0,1610.0,1756.0,1861.0,1756.0,1931.0,1622.0,1855.0,1642.0,1702.0,1580.0,1709.0,1886.0,1515.0,1713.0,1691.0,1550.0,1844.0,1791.0,1520.0,1547.0,1756.0,1861.0,1785.0,1610.0,1855.0,1855.0,1705.0,1765.0,1756.0,1756.0,1756.0,1784.0,1756.0,1708.0,1746.0,1756.0,1622.0,1730.0,1765.0,1610.0,1542.0,1708.0,1861.0,1531.0,2547.0,2524.0,1937.0,2179.0,1908.0,2224.0,2524.0,2017.0,1927.0,1817.0,1880.0,1922.0,2027.0,2524.0,2124.0,2186.0,2570.0,2582.0,2569.0,2186.0,1927.0,2651.0,2387.0,2375.0,2186.0,2597.0,2224.0,2536.0,2118.0,2261.0,1922.0,2524.0,2224.0,1951.0,2524.0,855.0,2308.0,2165.0,2570.0,2389.0,2312.0,2570.0,2414.0,2270.0,2324.0,2524.0,2524.0,2524.0,2403.0,2118.0,1970.0,3728.0,3817.0,3834.0,3904.0,3955.0,3686.0,1970.0,1970.0,1970.0,1970.0,4226.0,1970.0,3294.0,1970.0,1970.0,4226.0,1970.0,748.0,748.0,2930.0,2175.0,2311.0,2311.0,2428.0,2226.0,2175.0,2496.0,2507.0,2369.0,2218.0,2423.0,2218.0,2498.0,2417.0,2714.0,2369.0,2521.0,2614.0,2815.0,2779.0,2362.0,2428.0,2614.0,2439.0,2428.0,2740.0,2428.0,2439.0,2779.0,2350.0,2238.0,2439.0,2566.0,2311.0,2242.0,2679.0,2428.0,2218.0,2651.0,2330.0,2463.0,2218.0,2428.0,2905.0,8225.0,2218.0,2428.0
8,712.0,1621.0,527.0,1621.0,539.0,376.0,2190.0,219.0,0.0,2184.0,435.0,521.0,606.0,458.0,621.0,735.0,585.0,0.0,114.0,521.0,475.0,484.0,650.0,691.0,556.0,572.0,298.0,2190.0,653.0,2190.0,811.0,696.0,487.0,2190.0,579.0,276.0,276.0,276.0,276.0,276.0,534.0,174.0,618.0,662.0,279.0,335.0,276.0,239.0,567.0,311.0,1353.0,1499.0,1796.0,1839.0,2005.0,1919.0,1830.0,1975.0,2080.0,1975.0,2150.0,1841.0,2075.0,1861.0,1922.0,1800.0,1928.0,2106.0,1735.0,1932.0,1911.0,1770.0,2063.0,2011.0,1739.0,1766.0,1975.0,2080.0,2004.0,1830.0,2075.0,2075.0,1924.0,1984.0,1975.0,1975.0,1975.0,2004.0,1975.0,1927.0,1966.0,1975.0,1841.0,1950.0,1984.0,1830.0,1761.0,1927.0,2080.0,1751.0,2766.0,2743.0,2156.0,2398.0,2127.0,2443.0,2743.0,2236.0,2147.0,2037.0,2099.0,2142.0,2247.0,2743.0,2344.0,2405.0,2789.0,2801.0,2789.0,2405.0,2147.0,2871.0,2607.0,2595.0,2405.0,2816.0,2444.0,2756.0,2337.0,2480.0,2142.0,2743.0,2444.0,2171.0,2743.0,1075.0,2527.0,2385.0,2789.0,2608.0,2532.0,2789.0,2633.0,2490.0,2543.0,2743.0,2743.0,2743.0,2623.0,2337.0,2190.0,3948.0,4036.0,4053.0,4123.0,4174.0,3905.0,2190.0,2190.0,2190.0,2190.0,4445.0,2190.0,3513.0,2190.0,2190.0,4445.0,2190.0,855.0,855.0,3149.0,2394.0,2530.0,2530.0,2647.0,2446.0,2394.0,2715.0,2727.0,2588.0,2438.0,2643.0,2438.0,2717.0,2637.0,2934.0,2588.0,2740.0,2833.0,3034.0,2998.0,2581.0,2647.0,2833.0,2659.0,2647.0,2959.0,2647.0,2659.0,2998.0,2570.0,2457.0,2659.0,2785.0,2530.0,2461.0,2899.0,2647.0,2438.0,2870.0,2550.0,2683.0,2438.0,2647.0,3125.0,8391.0,2438.0,2647.0
9,2521.0,2579.0,2310.0,2579.0,2115.0,2267.0,1248.0,2331.0,2509.0,0.0,2191.0,2277.0,2224.0,2201.0,2047.0,1979.0,2049.0,2509.0,2437.0,2277.0,2247.0,2675.0,2061.0,1967.0,2122.0,2702.0,2324.0,1248.0,1931.0,1248.0,1814.0,2887.0,2677.0,1248.0,2165.0,2491.0,2491.0,2491.0,2491.0,2491.0,2275.0,2374.0,2720.0,2213.0,2340.0,2281.0,2491.0,2312.0,2106.0,2242.0,1972.0,1424.0,1377.0,1465.0,1587.0,1501.0,1411.0,1601.0,1677.0,1601.0,1584.0,1680.0,1672.0,1487.0,1519.0,1426.0,1525.0,1683.0,1361.0,1513.0,1492.0,1396.0,1660.0,1586.0,1485.0,1392.0,1601.0,1677.0,1586.0,1411.0,1672.0,1672.0,1550.0,1566.0,1601.0,1601.0,1601.0,1601.0,1601.0,1509.0,1547.0,1601.0,1680.0,1547.0,1566.0,1411.0,1387.0,1509.0,1677.0,1377.0,582.0,559.0,1133.0,660.0,1103.0,1200.0,559.0,993.0,1123.0,1013.0,1075.0,1118.0,1003.0,559.0,1100.0,221.0,605.0,617.0,657.0,221.0,1123.0,686.0,422.0,410.0,221.0,614.0,259.0,571.0,153.0,296.0,1118.0,559.0,259.0,1148.0,559.0,2773.0,343.0,1142.0,605.0,424.0,347.0,605.0,449.0,306.0,359.0,559.0,559.0,559.0,438.0,153.0,1248.0,2186.0,2172.0,2079.0,2437.0,2309.0,2215.0,1248.0,1248.0,1248.0,1248.0,2755.0,1248.0,2022.0,1248.0,1248.0,2755.0,1248.0,1993.0,1993.0,1406.0,1828.0,1793.0,1793.0,1558.0,1681.0,1828.0,1978.0,1849.0,1338.0,1700.0,1466.0,1700.0,1927.0,1390.0,1376.0,1851.0,1863.0,1714.0,1133.0,1715.0,1458.0,1558.0,1714.0,1600.0,1558.0,1840.0,1558.0,1600.0,1715.0,1446.0,1720.0,1600.0,1251.0,1793.0,1895.0,2107.0,1558.0,1700.0,1106.0,1812.0,1826.0,1700.0,1558.0,1126.0,9559.0,1700.0,1558.0
