,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213
0,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9
1,143.9,568.6,0,568.6,148.8,106,41.7,91.9,173.4,641.8,182.5,38,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38,201.6,213.1,211.2,137.9,219.5,256.4,123.4,706.1,145.7,68.9,222.7,341.4,238.4,706.1,962.8,154.3,154.3,154.3,188.4,154.3,45.2,111.2,269.3,64.9,131.5,75.7,188.4,82.7,181.3,230.4,143.9,568.6,0,568.6,148.8,106,41.7,91.9,173.4,641.8,182.5,38,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38,201.6,213.1,211.2,137.9,219.5,256.4,123.4,706.1,145.7,68.9,222.7,341.4,238.4,706.1,962.8,154.3,154.3,154.3,188.4,154.3,45.2,111.2,269.3,64.9,131.5,75.7,188.4,82.7,181.3,230.4,143.9,568.6,0,568.6,148.8,106,41.7,91.9,173.4,641.8,182.5,38,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38,201.6,213.1,211.2,137.9,219.5,256.4,123.4,706.1,145.7,68.9,222.7,341.4,238.4,706.1,962.8,154.3,154.3,154.3,188.4,154.3,45.2,111.2,269.3,64.9,131.5,75.7,188.4,82.7,181.3,230.4,143.9,568.6,0,568.6,148.8,106,41.7,91.9,173.4,641.8,182.5,38,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38,201.6,213.1,211.2,137.9,219.5,256.4,123.4,706.1,145.7,68.9,222.7,341.4,238.4,706.1,962.8,154.3,154.3,154.3,188.4,154.3,45.2,111.2,269.3,64.9,131.5,75.7,188.4,82.7,181.3,230.4,143.9,568.6,0,568.6,148.8,106,41.7,91.9,173.4,641.8,182.5,38,73.5,137.2
2,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3,667.7,726.2,669.5,576.5,665.4,676,654.5,726.2,830.7,612.2,612.2,612.2,646.3,612.2,595.2,653.8,727.2,558,648.9,569.7,646.3,625.3,624,688.3,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9
3,284.8,743.3,184,743.3,0,233.5,182.6,240.6,322.1,622.2,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78,135.3,123.3,396.4,251.2,700.8,93.6,217.6,89.5,490.1,387.1,700.8,1109.6,303,303,303,337.1,303,216,259.9,394.5,242,239,224.4,337.1,231.4,115.3,379.1,284.8,743.3,184,743.3,0,233.5,182.6,240.6,322.1,622.2,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78,135.3,123.3,396.4,251.2,700.8,93.6,217.6,89.5,490.1,387.1,700.8,1109.6,303,303,303,337.1,303,216,259.9,394.5,242,239,224.4,337.1,231.4,115.3,379.1,284.8,743.3,184,743.3,0,233.5,182.6,240.6,322.1,622.2,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78,135.3,123.3,396.4,251.2,700.8,93.6,217.6,89.5,490.1,387.1,700.8,1109.6,303,303,303,337.1,303,216,259.9,394.5,242,239,224.4,337.1,231.4,115.3,379.1,284.8,743.3,184,743.3,0,233.5,182.6,240.6,322.1,622.2,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78,135.3,123.3,396.4,251.2,700.8,93.6,217.6,89.5,490.1,387.1,700.8,1109.6,303,303,303,337.1,303,216,259.9,394.5,242,239,224.4,337.1,231.4,115.3,379.1,284.8,743.3,184,743.3,0,233.5,182.6,240.6,322.1,622.2,132.8,186.7,246.3,149.1
4,242.6,697.9,112,697.9,42.8,0,110.6,118.7,200.2,649.4,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,150.5,283.2,119,728,120.8,68.1,116.7,368.2,265.2,728,1074.8,181.1,181.1,181.1,215.2,181.1,173.8,138,296.1,176.9,100.2,74.9,215.2,109.5,75.3,257.2,242.6,697.9,112,697.9,42.8,0,110.6,118.7,200.2,649.4,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,150.5,283.2,119,728,120.8,68.1,116.7,368.2,265.2,728,1074.8,181.1,181.1,181.1,215.2,181.1,173.8,138,296.1,176.9,100.2,74.9,215.2,109.5,75.3,257.2,242.6,697.9,112,697.9,42.8,0,110.6,118.7,200.2,649.4,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,150.5,283.2,119,728,120.8,68.1,116.7,368.2,265.2,728,1074.8,181.1,181.1,181.1,215.2,181.1,173.8,138,296.1,176.9,100.2,74.9,215.2,109.5,75.3,257.2,242.6,697.9,112,697.9,42.8,0,110.6,118.7,200.2,649.4,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,150.5,283.2,119,728,120.8,68.1,116.7,368.2,265.2,728,1074.8,181.1,181.1,181.1,215.2,181.1,173.8,138,296.1,176.9,100.2,74.9,215.2,109.5,75.3,257.2,242.6,697.9,112,697.9,42.8,0,110.6,118.7,200.2,649.4,116.1,144.5,185.5,31.2
5,145.3,570,1.4,570,150.2,107.4,0,93.3,174.8,643.2,183.9,39.4,74.9,138.6,198.8,200.9,159,174.8,139.9,39.4,203,214.5,212.6,139.3,220.9,257.8,124.8,707.5,147.1,70.3,224.1,342.8,239.8,707.5,964.2,155.7,155.7,155.7,189.8,155.7,46.6,112.6,270.7,66.3,132.9,77.1,189.8,84.1,182.7,231.8,145.3,570,1.4,570,150.2,107.4,0,93.3,174.8,643.2,183.9,39.4,74.9,138.6,198.8,200.9,159,174.8,139.9,39.4,203,214.5,212.6,139.3,220.9,257.8,124.8,707.5,147.1,70.3,224.1,342.8,239.8,707.5,964.2,155.7,155.7,155.7,189.8,155.7,46.6,112.6,270.7,66.3,132.9,77.1,189.8,84.1,182.7,231.8,145.3,570,1.4,570,150.2,107.4,0,93.3,174.8,643.2,183.9,39.4,74.9,138.6,198.8,200.9,159,174.8,139.9,39.4,203,214.5,212.6,139.3,220.9,257.8,124.8,707.5,147.1,70.3,224.1,342.8,239.8,707.5,964.2,155.7,155.7,155.7,189.8,155.7,46.6,112.6,270.7,66.3,132.9,77.1,189.8,84.1,182.7,231.8,145.3,570,1.4,570,150.2,107.4,0,93.3,174.8,643.2,183.9,39.4,74.9,138.6,198.8,200.9,159,174.8,139.9,39.4,203,214.5,212.6,139.3,220.9,257.8,124.8,707.5,147.1,70.3,224.1,342.8,239.8,707.5,964.2,155.7,155.7,155.7,189.8,155.7,46.6,112.6,270.7,66.3,132.9,77.1,189.8,84.1,182.7,231.8,145.3,570,1.4,570,150.2,107.4,0,93.3,174.8,643.2,183.9,39.4,74.9,138.6
6,185.3,646.3,77.7,646.3,111.7,68.9,76.3,0,81.5,719.5,185,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,219.4,211.9,51.5,783.8,191.1,33.8,185.6,296.9,193.9,783.8,1040.5,109.8,109.8,109.8,143.9,109.8,122.9,19.3,224.8,142.6,39.6,40.6,143.9,9.2,144.2,185.9,185.3,646.3,77.7,646.3,111.7,68.9,76.3,0,81.5,719.5,185,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,219.4,211.9,51.5,783.8,191.1,33.8,185.6,296.9,193.9,783.8,1040.5,109.8,109.8,109.8,143.9,109.8,122.9,19.3,224.8,142.6,39.6,40.6,143.9,9.2,144.2,185.9,185.3,646.3,77.7,646.3,111.7,68.9,76.3,0,81.5,719.5,185,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,219.4,211.9,51.5,783.8,191.1,33.8,185.6,296.9,193.9,783.8,1040.5,109.8,109.8,109.8,143.9,109.8,122.9,19.3,224.8,142.6,39.6,40.6,143.9,9.2,144.2,185.9,185.3,646.3,77.7,646.3,111.7,68.9,76.3,0,81.5,719.5,185,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,219.4,211.9,51.5,783.8,191.1,33.8,185.6,296.9,193.9,783.8,1040.5,109.8,109.8,109.8,143.9,109.8,122.9,19.3,224.8,142.6,39.6,40.6,143.9,9.2,144.2,185.9,185.3,646.3,77.7,646.3,111.7,68.9,76.3,0,81.5,719.5,185,90.4,151.2,100.1
7,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9,248.3,250.2,208.3,0,41.2,178.2,195.9,124.1,261.9,271.1,307.2,167.4,132.5,871.6,278.9,121.6,273.4,252.4,149.4,871.6,1128.3,75.3,75.3,75.3,99.4,75.3,210.7,68.5,180.3,230.4,120.6,128.4,99.4,97,232,141.4,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9,248.3,250.2,208.3,0,41.2,178.2,195.9,124.1,261.9,271.1,307.2,167.4,132.5,871.6,278.9,121.6,273.4,252.4,149.4,871.6,1128.3,75.3,75.3,75.3,99.4,75.3,210.7,68.5,180.3,230.4,120.6,128.4,99.4,97,232,141.4,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9,248.3,250.2,208.3,0,41.2,178.2,195.9,124.1,261.9,271.1,307.2,167.4,132.5,871.6,278.9,121.6,273.4,252.4,149.4,871.6,1128.3,75.3,75.3,75.3,99.4,75.3,210.7,68.5,180.3,230.4,120.6,128.4,99.4,97,232,141.4,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9,248.3,250.2,208.3,0,41.2,178.2,195.9,124.1,261.9,271.1,307.2,167.4,132.5,871.6,278.9,121.6,273.4,252.4,149.4,871.6,1128.3,75.3,75.3,75.3,99.4,75.3,210.7,68.5,180.3,230.4,120.6,128.4,99.4,97,232,141.4,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9
8,940.1,1047.2,866,1047.2,849.9,917.8,864.6,914.8,996.3,0,860.6,860.9,819.4,893.5,825.7,810,820.6,996.3,961.4,860.9,944.3,1036,822.4,782.2,867.7,1079.3,946.3,618.1,764.4,891.8,748.1,1137.7,1061.3,618.1,1014.4,977.2,977.2,977.2,1011.3,977.2,852.3,934.1,1092.2,815.1,954.4,898.6,1011.3,905.6,859.7,1053.3,940.1,1047.2,866,1047.2,849.9,917.8,864.6,914.8,996.3,0,860.6,860.9,819.4,893.5,825.7,810,820.6,996.3,961.4,860.9,944.3,1036,822.4,782.2,867.7,1079.3,946.3,618.1,764.4,891.8,748.1,1137.7,1061.3,618.1,1014.4,977.2,977.2,977.2,1011.3,977.2,852.3,934.1,1092.2,815.1,954.4,898.6,1011.3,905.6,859.7,1053.3,940.1,1047.2,866,1047.2,849.9,917.8,864.6,914.8,996.3,0,860.6,860.9,819.4,893.5,825.7,810,820.6,996.3,961.4,860.9,944.3,1036,822.4,782.2,867.7,1079.3,946.3,618.1,764.4,891.8,748.1,1137.7,1061.3,618.1,1014.4,977.2,977.2,977.2,1011.3,977.2,852.3,934.1,1092.2,815.1,954.4,898.6,1011.3,905.6,859.7,1053.3,940.1,1047.2,866,1047.2,849.9,917.8,864.6,914.8,996.3,0,860.6,860.9,819.4,893.5,825.7,810,820.6,996.3,961.4,860.9,944.3,1036,822.4,782.2,867.7,1079.3,946.3,618.1,764.4,891.8,748.1,1137.7,1061.3,618.1,1014.4,977.2,977.2,977.2,1011.3,977.2,852.3,934.1,1092.2,815.1,954.4,898.6,1011.3,905.6,859.7,1053.3,940.1,1047.2,866,1047.2,849.9,917.8,864.6,914.8,996.3,0,860.6,860.9,819.4,893.5
9,303.4,753.9,202.6,753.9,129.5,252.1,201.2,259.2,273.6,702.1,0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252,205.3,134,357.7,186.1,145.9,125,382.4,256.3,787.9,160.9,236.2,203.4,478.6,375.6,787.9,1146.2,317.3,317.3,317.3,341.4,317.3,234.6,243.3,380.5,252.6,237.6,243,341.4,250,130.9,375,303.4,753.9,202.6,753.9,129.5,252.1,201.2,259.2,273.6,702.1,0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252,205.3,134,357.7,186.1,145.9,125,382.4,256.3,787.9,160.9,236.2,203.4,478.6,375.6,787.9,1146.2,317.3,317.3,317.3,341.4,317.3,234.6,243.3,380.5,252.6,237.6,243,341.4,250,130.9,375,303.4,753.9,202.6,753.9,129.5,252.1,201.2,259.2,273.6,702.1,0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252,205.3,134,357.7,186.1,145.9,125,382.4,256.3,787.9,160.9,236.2,203.4,478.6,375.6,787.9,1146.2,317.3,317.3,317.3,341.4,317.3,234.6,243.3,380.5,252.6,237.6,243,341.4,250,130.9,375,303.4,753.9,202.6,753.9,129.5,252.1,201.2,259.2,273.6,702.1,0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252,205.3,134,357.7,186.1,145.9,125,382.4,256.3,787.9,160.9,236.2,203.4,478.6,375.6,787.9,1146.2,317.3,317.3,317.3,341.4,317.3,234.6,243.3,380.5,252.6,237.6,243,341.4,250,130.9,375,303.4,753.9,202.6,753.9,129.5,252.1,201.2,259.2,273.6,702.1,0,205.3,256.9,164.7
