,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3
1,143.9,568.6,0,568.6,148.8,106,41.7,91.9,173.4,641.8,182.5,38,73.5,137.2,197.4,199.5,157.6,173.4,138.5,38,201.6,213.1,211.2,137.9,219.5,256.4
2,533.3,0,608.9,0,591.5,548.7,607.5,634.5,686.8,1094.1,664.8,603.8,532,579.9,640.3,642.2,600.3,686.8,681.1,603.8,644.3,671,653.9,648.1,699.2,714.3
3,284.8,743.3,184,743.3,0,233.5,182.6,240.6,322.1,622.2,132.8,186.7,246.3,149.1,54.3,66.3,24.4,322.1,287.2,186.7,206.9,361.8,78,135.3,123.3,396.4
4,242.6,697.9,112,697.9,42.8,0,110.6,118.7,200.2,649.4,116.1,144.5,185.5,31.2,91.6,93.5,51.6,200.2,165.3,144.5,95.6,239.9,105.2,133.7,150.5,283.2
5,145.3,570,1.4,570,150.2,107.4,0,93.3,174.8,643.2,183.9,39.4,74.9,138.6,198.8,200.9,159,174.8,139.9,39.4,203,214.5,212.6,139.3,220.9,257.8
6,185.3,646.3,77.7,646.3,111.7,68.9,76.3,0,81.5,719.5,185,90.4,151.2,100.1,160.5,162.4,120.5,81.5,46.6,90.4,165.1,168.6,174.1,183.3,219.4,211.9
7,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9,248.3,250.2,208.3,0,41.2,178.2,195.9,124.1,261.9,271.1,307.2,167.4
8,940.1,1047.2,866,1047.2,849.9,917.8,864.6,914.8,996.3,0,860.6,860.9,819.4,893.5,825.7,810,820.6,996.3,961.4,860.9,944.3,1036,822.4,782.2,867.7,1079.3
9,303.4,753.9,202.6,753.9,129.5,252.1,201.2,259.2,273.6,702.1,0,205.3,256.9,164.7,178.3,180.2,138.3,273.6,252,205.3,134,357.7,186.1,145.9,125,382.4
10,146,607,38.4,607,110.8,68,37,53.9,135.4,680.2,184.1,0,111.9,99.2,159.6,161.5,119.6,135.4,100.5,0,163.6,175.1,173.2,144,218.5,218.4
11,147,519.2,97.5,519.2,203.2,160.4,96.1,146.3,227.8,623.5,217.7,92.4,0,191.6,240.6,253.9,212,227.8,192.9,92.4,256,267.5,265.6,136.6,254.7,310.8
12,277.7,733.6,176.9,733.6,34.7,195.3,175.5,227.6,309.1,641.3,108,179.6,236.6,0,83.5,85.4,43.5,309.1,274.2,179.6,176.4,348.8,97.1,125.6,142.4,392.1
13,287.2,745.7,186.4,745.7,60.8,235.9,185,243,324.5,635.5,153.9,189.1,248.7,166.6,0,83.8,41.9,324.5,289.6,189.1,224.4,364.2,95.5,137.7,140.8,407.5
14,330.2,784.1,229.4,784.1,186.7,269.5,228,276.9,358.4,598.1,188.3,232.1,287.1,175.1,186.8,0,181.7,358.4,323.5,232.1,232.9,398.1,104,180.7,149.3,399.9
15,276.7,730.6,175.9,730.6,136.3,219.1,174.5,226.5,308,597.8,137.9,178.6,233.6,124.7,133.3,41.9,0,308,273.1,178.6,182.5,347.7,53.6,127.2,98.9,372
16,273.1,734.1,165.5,734.1,199.5,156.7,164.1,87.8,0,807.3,240.7,178.2,239,187.9,248.3,250.2,208.3,0,41.2,178.2,195.9,124.1,261.9,271.1,307.2,167.4
17,231.9,692.9,124.3,692.9,158.3,115.5,122.9,46.6,34.9,766.1,213.6,137,197.8,146.7,207.1,209,167.1,34.9,0,137,154.7,146.4,220.7,229.9,266,189.7
18,146,607,38.4,607,110.8,68,37,53.9,135.4,680.2,184.1,0,111.9,99.2,159.6,161.5,119.6,135.4,100.5,0,163.6,175.1,173.2,144,218.5,218.4
19,302.8,767.1,202,767.1,104.2,185.5,200.6,162.5,192,710.8,98.9,204.7,275.5,92.6,153,154.9,113,192,157.1,204.7,0,298.1,166.6,195.1,190.5,341.4
20,284.7,733.4,182.9,733.4,224,181.2,181.5,153.6,108.2,824.7,297.3,195.6,256.4,212.4,272.8,274.7,232.8,108.2,127.8,195.6,276.8,0,286.4,288.5,331.7,69
21,268.3,718.8,167.5,718.8,82.7,165.5,166.1,172.9,254.4,667,84.3,170.2,221.8,71.1,131.5,133.4,91.5,254.4,219.5,170.2,128.9,294.1,0,110.8,86.3,337.4
22,229.2,636,128.4,636,103.3,177.9,127,185,266.5,584.2,114,131.1,139,155.7,136.9,167.1,125.2,266.5,231.6,131.1,197.7,306.2,166,0,151,349.5
23,310,760.5,209.2,760.5,136.1,241.2,207.8,248.6,324.4,667.5,88.9,211.9,263.5,146.8,184.9,102.1,144.9,324.4,295.2,211.9,184.8,369.8,75.7,152.5,0,413.1
24,345,793.7,243.2,793.7,284.3,241.5,241.8,213.9,168.5,885,357.6,255.9,316.7,272.7,333.1,334.1,293.1,168.5,188.1,255.9,337.1,60.3,346.7,348.8,365.7,0
25,0,520.3,112.5,520.3,195.2,152.4,111.1,171.1,252.6,754.3,254.7,117.2,164.4,183.6,244,245.9,204,252.6,217.7,117.2,248,274.7,257.6,210.1,291.7,318
