,0,1,2,3,4,5,6,7,8,9,10
0,0.0,377.0,681.0,611.0,564.0,425.0,920.0,238.0,287.0,298.0,946.0
1,145.0,0.0,595.0,524.0,472.0,339.0,895.0,151.0,244.0,211.0,921.0
2,712.0,567.0,0.0,104.0,504.0,467.0,466.0,676.0,673.0,545.0,551.0
3,608.0,463.0,70.0,0.0,399.0,363.0,381.0,571.0,569.0,461.0,466.0
4,475.0,330.0,338.0,267.0,0.0,323.0,589.0,439.0,334.0,375.0,674.0
5,418.0,274.0,423.0,369.0,390.0,0.0,688.0,413.0,380.0,316.0,773.0
6,760.0,692.0,325.0,278.0,629.0,598.0,0.0,801.0,798.0,682.0,231.0
7,306.0,172.0,443.0,373.0,327.0,188.0,695.0,0.0,242.0,152.0,780.0
8,311.0,215.0,634.0,563.0,328.0,367.0,885.0,315.0,0.0,308.0,970.0
9,190.0,262.0,520.0,473.0,426.0,330.0,784.0,100.0,342.0,0.0,869.0
10,886.0,891.0,524.0,477.0,828.0,797.0,199.0,938.0,998.0,881.0,0.0
