,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
0,0,7000,2071,7000,3255,6241,5375,2422,3657,10610,3819,2667,3118,2805,3292,3397,3313,3692,3066,2667,5237,3991,3670,4417,3595,0,2436,3896,2978,3873,3386,3670,3670,3168,1909,3198,3198,3136,3136,3136,1910,2537,3709,1842,3201,3198,3136,2625,3176,3789,0,6048,9122,10185,9618,9377,12620,8719,10292,9658,9636,9122,10292,9245,9604,9371,9635,10022,9371,9221,9650,9883,10005,10005,9952,0,10292,10292,10025,9195,10311,10343,9636,9679,9977,9636,9721,10504,10464,10616,10292,10032,9122,8794,10464,5299,9363,10083,10292,15256,0,9982,10490,14043,9753,16279,9625,13951,9696,9282,10098,9539,10161,28076,10179,12304,12339,13131,13207,14741,9696,13377,13125,13045,12250,0,12550,12515,12515,14005,9539,13835,12550,9693,13330,13835,13085,9554,12963,13411,13085,13835,13591,12987,12987,13129,9696,13684,13085,12515,0,25279,25647,25707,20040,6149,25279,24420,24508,22734,24508,24518,24420,25742,24508,24420,24518,24508,4314,4314,15204,15127,15127,15127,14008,0,3569,15904,16507,16436,15127,17948,14854,16189,16250,16141,15618,15281,18856,12913,18006,19321,21640,20828,18856,19785,18856,16197,21010,18006,0,15127,15418,14985,15127,18185,15618,19785,15331,15467,16128,15467,15055,16197,16669,14134,13400,17609
1,6786,0,8267,0,8800,24060,10981,8061,9198,11582,9364,8306,9672,8350,9089,8942,8858,9233,8706,8306,10778,9532,9472,9962,9140,8919,0,3270,9533,9513,8593,9212,9212,9723,8456,8404,8404,8776,8776,8776,8105,8177,9251,8037,8840,8404,8776,8265,9300,9330,16611,0,15773,16837,16269,16029,35208,10505,16943,16310,16288,15773,16943,15896,16255,16022,16286,16673,16022,15872,16301,16535,16656,16656,16604,23371,0,16943,16676,15846,16963,16994,16288,16330,16628,16288,16373,17156,17116,17267,16943,16683,15773,15446,17116,11583,16014,16735,16943,16228,15784,0,13211,17361,11623,17250,11266,17269,11337,10922,11250,11180,11313,44641,11331,15041,13888,14680,15328,18674,11337,14925,14970,16554,16183,14480,0,14943,14943,14754,11180,14592,15461,11563,14863,14592,15010,11424,14512,14944,15010,14592,14666,16496,16496,15395,11337,15084,15010,14943,24454,0,24196,23889,20898,11694,24321,24454,24542,24283,24542,24551,24454,23854,24542,24454,24551,24542,9858,9858,18522,21779,21779,21779,20660,23371,0,22556,23159,23088,21779,24599,21506,22841,22901,22793,22269,21933,24667,19565,24657,23191,21196,23371,24667,24370,24667,22848,26043,24657,23455,0,22070,21636,21779,22055,22269,24370,21982,22119,22779,22119,21706,22848,21724,20785,20051,24260
2,1735,8456,0,8456,1936,5643,4138,1195,3059,10545,2500,1440,1881,1486,2055,2078,1994,3094,1840,1440,4639,3393,2433,3098,2276,2796,1209,0,1742,2646,2159,3072,3072,1932,341,1971,1971,1909,1909,1909,60,1310,3111,267,1974,1971,1909,1398,1939,3191,8723,4474,0,8949,8381,8141,11384,7145,9055,8421,8400,7885,9055,8008,8367,8134,8398,8785,8134,7984,8413,8646,8768,8768,8716,19592,9055,0,8788,7958,9075,9106,8400,8442,8740,8400,8484,9268,9228,9379,9055,8795,7885,7558,9228,4062,8126,8847,9055,15005,13609,9382,0,12806,9153,16213,9025,12714,9096,8681,9498,8938,9561,26839,9579,11067,11739,12803,11970,13504,9096,12777,11889,11809,11013,12331,11313,0,11278,12769,8938,12599,11313,9092,12094,12599,11848,8954,12611,12174,11848,12599,12354,11751,11751,11893,9096,12447,11848,11278,23184,24042,0,24470,19789,4830,24042,23184,23271,22134,23271,23281,23184,24505,23271,23184,23281,23271,2994,2994,13967,13891,13891,13891,12772,19592,2332,0,15271,15199,13891,16711,13618,14953,15013,14905,14381,14045,17620,11677,16769,18084,20404,19592,17620,18548,17620,14960,19773,16769,15567,13891,0,13748,13891,16948,14381,18548,14094,14231,14891,14231,13818,14960,15432,12897,12163,16372
3,6786,0,8267,0,8800,24060,10981,8061,9198,11582,9364,8306,9672,8350,9089,8942,8858,9233,8706,8306,10778,9532,9472,9962,9140,8919,8076,3270,0,9513,8593,9212,9212,9723,8456,8404,8404,8776,8776,8776,8105,8177,9251,8037,8840,8404,8776,8265,9300,9330,16611,9629,15773,0,16269,16029,35208,10505,16943,16310,16288,15773,16943,15896,16255,16022,16286,16673,16022,15872,16301,16535,16656,16656,16604,23371,16943,16943,0,15846,16963,16994,16288,16330,16628,16288,16373,17156,17116,17267,16943,16683,15773,15446,17116,11583,16014,16735,16943,16228,15784,11134,13211,0,11623,17250,11266,17269,11337,10922,11250,11180,11313,44641,11331,15041,13888,14680,15328,18674,11337,14925,14970,16554,16183,14480,15461,14943,0,14754,11180,14592,15461,11563,14863,14592,15010,11424,14512,14944,15010,14592,14666,16496,16496,15395,11337,15084,15010,14943,24454,24321,24196,0,20898,11694,24321,24454,24542,24283,24542,24551,24454,23854,24542,24454,24551,24542,9858,9858,18522,21779,21779,21779,20660,23371,9371,22556,0,23088,21779,24599,21506,22841,22901,22793,22269,21933,24667,19565,24657,23191,21196,23371,24667,24370,24667,22848,26043,24657,23455,21779,22070,0,21779,22055,22269,24370,21982,22119,22779,22119,21706,22848,21724,20785,20051,24260
4,3084,8894,1841,8894,0,6270,2276,1752,3617,10033,1044,1997,967,1461,289,622,538,3651,2117,1997,5197,3950,767,1642,820,3354,1619,5790,828,0,2458,3630,3630,1018,1605,2270,2270,2208,2208,2208,1782,1868,3669,1977,1495,2270,2208,1956,487,3748,7906,3812,7068,8132,0,7324,10567,6481,8238,7605,7583,7068,8238,7191,7550,7317,7581,7968,7317,7167,7596,7830,7951,7951,7899,18775,8238,8238,7971,0,8258,8289,7583,7625,7923,7583,7668,8451,8411,8562,8238,7978,7068,6741,8411,2878,7309,8030,8238,15201,12862,8870,8252,12059,0,15701,8513,11967,8584,8170,8986,8427,9049,26022,9067,10320,11227,12056,11223,12757,8584,12265,11142,11062,10266,12284,10566,10531,10531,0,8427,11852,10566,8581,11347,11852,11101,8442,11864,11427,11101,11852,11607,11004,11004,11146,8584,11700,11101,10531,22367,23225,23594,23653,0,2989,23225,22367,22454,24626,22454,22464,22367,23688,22454,22367,22464,22454,1153,1153,13220,13074,13074,13074,11955,18775,666,13851,14454,0,13074,15894,12801,14136,14196,14088,13564,13228,16803,10860,15952,17268,19587,18775,16803,17732,16803,14143,18956,15952,14750,13074,13365,12931,0,16131,13564,17732,13277,13414,14074,13414,13002,14143,14615,12080,11347,15555
5,6239,25996,6048,25996,6052,0,6890,4651,3166,15089,5158,4406,5957,5706,6342,5795,5849,3080,4144,4406,1546,2941,5724,4693,5967,3248,4925,8705,6051,3950,0,3179,3179,6024,5812,3787,3787,3848,3848,3848,5989,4535,2532,5759,5058,3787,3848,4447,6228,2446,18379,8868,11682,12745,12178,0,16886,11537,12852,12218,12196,11682,12852,11804,12164,11931,12195,12582,11931,11781,12210,12443,12565,12565,12512,23388,12852,12852,12585,11755,0,12903,12196,12239,12537,12196,12281,13064,13024,18961,12852,12592,11682,11354,13024,7492,11923,19473,12852,20257,17719,13926,12149,16916,13697,0,13569,16824,13640,13226,14042,13483,14105,26318,14123,15176,17366,16912,16079,17613,13640,17315,15998,15918,15122,17140,15423,15387,15387,16878,0,16708,15423,13637,16203,16708,15958,13498,16720,16284,15958,16708,16464,15860,15860,16002,13640,16557,15958,15387,26980,27839,28207,28267,42166,0,27839,26980,27068,29240,27068,27077,26980,28302,27068,26980,27077,27068,5767,5767,18076,17687,17687,17687,16568,23388,5623,18464,19067,18996,0,20508,17414,18749,18810,18701,18178,17841,21416,15473,20566,21881,24200,23388,21416,22345,21416,18757,23570,20566,19363,17687,17978,17545,17687,0,18178,22345,17891,18027,18688,18027,17615,18757,19229,16694,15960,20169
6,5408,11056,3993,11056,3153,7031,0,3915,5488,10030,3205,4160,2294,3149,2719,2581,2271,5522,4559,4160,6409,5822,2062,3803,2753,5225,3782,7953,2863,4878,4879,0,5189,2362,3756,4691,4691,4629,4629,4629,3933,4030,5540,4319,3658,4691,4629,4118,2650,5619,6016,3090,5179,6242,5675,5434,0,3939,6349,5715,5693,5179,6349,5301,5661,5428,5692,6079,5428,5278,5707,5940,6062,6062,6009,16885,6349,6349,6082,5252,6368,0,5693,5736,6034,5693,5778,6561,6521,6673,6349,6089,5179,4851,6521,1102,5420,6140,6349,15198,11159,8867,5590,10356,8638,15423,0,10264,8581,8167,8983,8424,9046,24133,9064,8617,10807,10353,9520,11054,8581,10755,9438,9358,8563,10580,8863,8828,8828,10318,8424,0,8863,8578,9643,10148,9398,8439,10160,9724,9398,10148,9904,9300,9300,9442,8581,9997,9398,8828,20477,21336,21704,21764,20767,2965,0,20477,20565,22737,20565,20574,20477,21799,20565,20477,20574,20565,1623,1623,11517,11184,11184,11184,10065,16885,1961,11961,12564,12493,11184,0,10911,12246,12307,12198,11675,11338,14913,8970,14063,15378,17697,16885,14913,15842,14913,12254,17067,14063,12860,11184,11475,11042,11184,14242,0,15842,11388,11524,12185,11524,11112,12254,12726,10191,9457,13666
7,2413,8065,1614,8065,1721,4645,3903,0,2061,11602,2285,245,2594,1271,2010,1863,1779,2096,645,245,3641,2395,2393,2883,2061,1798,275,4961,2454,1452,965,2074,0,2644,1377,776,776,715,715,715,1554,116,2114,1324,779,776,715,204,1376,2193,9532,5501,8694,9758,9190,8950,12193,0,9865,9231,9209,8694,9865,8817,9177,8943,9208,9595,8943,8793,9222,9456,9577,9577,9525,20401,9865,9865,9597,8768,9884,9916,0,9252,9550,9209,9294,10077,10037,10188,9865,9605,8694,8367,10037,4504,8935,9656,9865,16062,14314,10439,9942,13511,10210,17270,10082,0,10153,9738,10555,9995,10618,27648,10636,11772,12796,13508,12675,14209,10153,13834,12594,12514,11718,13388,12018,11983,11983,13473,9995,13304,0,10149,12798,13304,12553,10011,13316,12879,12553,13304,13059,12456,12456,12598,10153,13152,12553,11983,23993,24851,25220,25280,20846,3160,24851,0,24080,26252,24080,24090,23993,25314,24080,23993,24090,24080,2780,2780,14672,14700,14700,14700,13581,20401,2292,15477,16080,16009,14700,17520,0,15762,15822,15714,15190,14854,18429,12486,17579,18894,21213,20401,18429,19358,18429,15770,20583,17579,16376,14700,14991,14558,14700,17758,15190,0,14903,15040,15701,15040,14628,15770,16242,13706,12973,17181
8,3669,9239,3478,9239,3585,3157,5460,2080,0,13466,3098,1835,4458,3136,3875,3632,3644,608,1574,1835,2153,907,4294,2633,3703,559,2355,6135,4319,1379,1405,181,181,0,3241,1217,1217,1278,1278,1278,3419,1965,625,3189,2488,1217,1278,1877,3858,705,9954,7366,10252,11316,10748,10507,11643,10035,0,10788,10766,10252,11422,10375,10734,10501,10765,11152,10501,10351,10780,11013,11135,11135,11083,21958,11422,11422,11155,10325,11442,11473,10766,0,11107,10766,10851,11634,11594,10193,11422,11162,10252,9924,11594,6062,10493,11213,11422,17926,16289,12304,10720,15486,12074,19135,11947,15394,0,11603,12420,11860,12483,29259,12500,13746,14660,15483,14649,16183,12018,15698,14568,14488,13693,15710,13993,13958,13958,15448,11860,15278,13993,0,14773,15278,14528,11875,15290,14854,14528,15278,15034,14430,14430,14572,12018,15127,14528,13958,25550,26409,26777,26837,22711,2755,26409,25550,0,27810,25638,25648,25550,26872,25638,25550,25648,25638,4337,4337,16646,16257,16257,16257,15139,21958,4193,17034,17637,17566,16257,19078,15984,0,17380,17272,16748,16411,19986,14044,19136,20451,22770,21958,19986,20915,19986,17327,22140,19136,17933,16257,16548,16115,16257,19315,16748,20915,0,16597,17258,16597,16185,17327,17799,15264,14530,18739
9,11117,11578,10412,11578,10949,15742,11107,12091,13956,0,11382,12336,10091,11121,10516,10757,10448,13990,12736,12336,15120,14289,10239,11980,10930,13693,11958,11566,10114,13589,13056,13969,13969,10159,0,12867,12867,12806,12806,12806,10472,12207,14008,10278,11834,12867,12806,12295,10826,14087,13022,8130,12184,11761,12679,12439,15656,7093,12549,0,12421,12184,12549,12306,12453,12433,12422,12768,12433,12282,12511,11459,12262,12262,11528,13544,12549,12549,12990,12257,12569,12600,12421,12529,0,12421,12486,12080,12040,13581,12549,12289,12184,11856,12040,11032,12424,13049,12549,6507,6367,2452,7047,7995,2227,6226,2809,7903,2880,0,2568,2723,2631,31112,2649,5675,4564,5356,6004,9308,2880,5098,6239,7187,6817,5157,6095,5577,5577,5430,2723,5269,6095,2166,0,5269,6279,2577,5188,6213,6279,5269,5342,7129,7129,6071,2880,5760,6279,5577,14627,14494,14369,14062,12425,12461,14494,14627,14714,0,14714,14724,14627,14027,14714,14627,14724,14714,10625,10625,9156,17483,17483,17483,15732,13544,10137,18260,17366,12931,17483,16194,16409,17048,0,13347,17974,17637,15301,15384,16252,13825,11369,13544,15301,15003,15301,18553,16677,16252,13999,17483,17850,18106,17483,12689,17974,15003,17687,0,18484,17899,17487,18553,12358,15857,14994,13027
