,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
0,0,1340,478,1340,629,1439,1134,567,889,2382,768,620,685,541,730,682,687,924,700,620,1219,946,818,902,729,847,605,729,653,857,811,899,899,683,446,743,743,726,726,726,458,591,885,376,825,743,726,612,704,902,2096,1256,1792,1912,1933,1893,2424,1604,2029,1942,1891,1792,2029,1846,1884,1884,1891,2062,1884,1863,1899,1860,1983,1983,1870,3042,2029,2029,2018,1837,2036,2047,1891,1946,1964,1891,1954,1967,1960,2103,2029,1973,1792,1792,1960,1095,1895,2021,2029,2823,2845,2113,2066,2678,1943,3154,1959,2645,1985,1870,2155,1928,2177,3257,2186,2396,2519,2727,2570,2881,1985,2743,2580,2524,2324,2641,2394,2448,2448,2701,1928,2664,2394,1921,2575,2664,2568,1882,2652,2568,2568,2664,2595,2553,2553,2543,1985,2678,2568,2448,3832,3922,4000,4010,3218,1213,3922,3832,3851,4135,3851,3853,3832,4018,3851,3832,3853,3851,881,881,2840,2424,2424,2424,2367,3042,801,2562,2703,2565,2424,2779,2378,2661,2542,2539,2521,2460,3004,2297,2808,3033,3123,3042,3004,3331,3004,2680,3041,2808,2586,2424,2490,2604,2424,2884,2521,3331,2452,2499,2614,2499,2406,2680,3042,2376,2234,2769
1,1255,0,1534,0,1552,2261,2049,1508,1807,2194,1690,1561,1691,1463,1619,1604,1609,1843,1640,1561,2138,1865,1716,1824,1651,1704,1546,715,1658,1798,1704,1818,1818,1688,1492,1632,1632,1667,1667,1667,1514,1532,1803,1432,1766,1632,1667,1553,1661,1820,3129,2009,2824,2945,2966,2926,3212,2225,3061,2975,2924,2824,3061,2879,2917,2917,2924,3095,2917,2896,2932,2893,3016,3016,2903,3921,3061,3061,3051,2870,3069,3080,2924,2979,2997,2924,2987,3000,2993,3136,3061,3006,2824,2825,2993,2084,2928,3054,3061,2635,2924,1984,2701,3013,1957,2966,1982,2981,2007,1893,2026,1951,2048,3697,2057,2614,2471,2678,2780,3277,2007,2694,2822,2899,2720,2592,2664,2603,2603,2692,1951,2621,2664,1935,2777,2621,2837,1895,2603,2811,2837,2621,2649,2928,2928,2836,2007,2764,2837,2603,4137,4152,4131,4060,2842,2135,4152,4137,4156,4086,4156,4158,4137,4052,4156,4137,4158,4156,1803,1803,3175,3457,3457,3457,3400,3921,1699,3595,3736,3597,3457,3812,3411,3693,3575,3572,3553,3493,4007,3329,3841,3788,3601,3921,4007,4083,4007,3713,3983,3841,3619,3457,3523,3637,3457,3639,3553,4083,3484,3532,3647,3532,3439,3713,3624,3409,3267,3802
2,387,1585,0,1585,422,1301,900,349,751,2204,560,401,452,333,497,474,480,786,481,401,1081,808,585,695,521,696,386,974,419,639,592,761,761,449,135,524,524,507,507,507,21,372,747,112,607,524,507,393,471,764,1863,992,1558,1679,1699,1660,2190,1340,1795,1709,1658,1558,1795,1613,1651,1650,1657,1829,1650,1630,1665,1626,1750,1750,1637,2808,1795,1795,1785,1603,1802,1814,1658,1713,1731,1658,1720,1733,1727,1870,1795,1740,1558,1559,1727,862,1662,1787,1795,2772,2612,1917,1802,2445,1747,2975,1763,2412,1789,1674,1959,1732,1981,3023,1990,2163,2323,2549,2336,2648,1789,2547,2347,2290,2091,2445,2160,2214,2214,2467,1732,2431,2160,1725,2342,2431,2335,1686,2435,2334,2335,2431,2362,2319,2319,2309,1789,2445,2335,2214,3599,3688,3767,3777,3167,1005,3688,3599,3618,3939,3618,3620,3599,3784,3618,3599,3620,3618,674,674,2606,2191,2191,2191,2134,2808,568,2329,2470,2331,2191,2545,2145,2427,2308,2306,2287,2227,2770,2063,2575,2799,2890,2808,2770,3098,2770,2447,2808,2575,2353,2191,2256,2371,2191,2651,2287,3098,2218,2266,2381,2266,2173,2447,2809,2142,2000,2536
3,1255,0,1534,0,1552,2261,2049,1508,1807,2194,1690,1561,1691,1463,1619,1604,1609,1843,1640,1561,2138,1865,1716,1824,1651,1704,1546,715,1658,1798,1704,1818,1818,1688,1492,1632,1632,1667,1667,1667,1514,1532,1803,1432,1766,1632,1667,1553,1661,1820,3129,2009,2824,2945,2966,2926,3212,2225,3061,2975,2924,2824,3061,2879,2917,2917,2924,3095,2917,2896,2932,2893,3016,3016,2903,3921,3061,3061,3051,2870,3069,3080,2924,2979,2997,2924,2987,3000,2993,3136,3061,3006,2824,2825,2993,2084,2928,3054,3061,2635,2924,1984,2701,3013,1957,2966,1982,2981,2007,1893,2026,1951,2048,3697,2057,2614,2471,2678,2780,3277,2007,2694,2822,2899,2720,2592,2664,2603,2603,2692,1951,2621,2664,1935,2777,2621,2837,1895,2603,2811,2837,2621,2649,2928,2928,2836,2007,2764,2837,2603,4137,4152,4131,4060,2842,2135,4152,4137,4156,4086,4156,4158,4137,4052,4156,4137,4158,4156,1803,1803,3175,3457,3457,3457,3400,3921,1699,3595,3736,3597,3457,3812,3411,3693,3575,3572,3553,3493,4007,3329,3841,3788,3601,3921,4007,4083,4007,3713,3983,3841,3619,3457,3523,3637,3457,3639,3553,4083,3484,3532,3647,3532,3439,3713,3624,3409,3267,3802
4,658,1610,440,1610,0,1260,552,385,788,2198,274,438,193,324,68,188,194,823,508,438,1118,845,219,409,235,733,389,1000,160,666,627,798,798,191,339,558,558,542,542,542,418,409,784,419,427,558,542,430,138,800,1632,851,1327,1448,1468,1429,1959,1233,1564,1478,1427,1327,1564,1382,1420,1419,1426,1598,1419,1399,1434,1395,1519,1519,1406,2577,1564,1564,1554,1372,1571,1583,1427,1482,1500,1427,1489,1502,1496,1639,1564,1509,1327,1328,1496,587,1431,1556,1564,2888,2423,1912,1694,2256,1742,2970,1758,2223,1784,1669,1954,1727,1976,2792,1986,1973,2318,2360,2147,2459,1784,2542,2158,2101,1902,2355,1971,2025,2025,2278,1727,2242,1971,1720,2153,2242,2146,1680,2246,2145,2146,2242,2173,2130,2130,2120,1784,2256,2146,2025,3368,3457,3536,3546,3398,638,3457,3368,3387,3717,3387,3389,3368,3553,3387,3368,3389,3387,306,306,2417,1960,1960,1960,1903,2577,202,2098,2239,2100,1960,2314,1914,2196,2077,2075,2056,1996,2539,1832,2344,2568,2659,2577,2539,2867,2539,2216,2577,2344,2122,1960,2025,2140,1960,2420,2056,2867,1987,2035,2150,2035,1942,2216,2578,1911,1769,2305
5,1458,2206,1378,2206,1290,0,1442,1040,709,3258,1119,987,1261,1248,1357,1177,1187,734,945,987,387,700,1194,1029,1239,712,1118,1765,1289,903,954,719,719,1267,1277,882,882,898,898,898,1356,1015,573,1302,1216,882,898,995,1227,556,2097,1911,2217,2338,2358,2319,2062,2293,2454,2368,2317,2217,2454,2272,2310,2309,2317,2488,2309,2289,2325,2285,2409,2409,2296,3467,2454,2454,2444,2262,2461,2473,2317,2372,2390,2317,2379,2392,2386,2207,2454,2399,2217,2218,2386,1477,2321,2287,2454,3948,3385,2972,2602,3218,2802,4030,2818,3185,2844,2729,3014,2787,3036,2546,3046,2936,3301,3323,3110,3421,2844,3429,3120,3064,2864,3317,2934,2988,2988,3241,2787,3204,2934,2780,3115,3204,3108,2740,3209,3108,3108,3204,3135,3093,3093,3083,2844,3218,3108,2988,4258,4347,4426,4436,4150,870,4347,4258,4277,4608,4277,4279,4258,4443,4277,4258,4279,4277,1202,1202,3380,2850,2850,2850,2793,3467,1177,2988,3129,2990,2850,3204,2804,3086,2967,2965,2946,2886,3429,2722,3234,3459,3549,3467,3429,3757,3429,3106,3467,3234,3012,2850,2915,3030,2850,3310,2946,3757,2877,2925,3040,2925,2832,3106,3468,2802,2659,3195
6,1081,2020,922,2020,712,1381,0,795,1110,2332,717,847,548,734,656,597,508,1145,927,847,1305,1168,481,852,659,1055,799,1409,570,936,1038,1092,1092,554,821,970,970,953,953,953,900,818,1106,902,836,970,953,839,548,1123,1326,780,1022,1143,1163,1123,1654,1040,1259,1172,1121,1022,1259,1076,1114,1114,1121,1292,1114,1094,1129,1090,1213,1213,1100,2272,1259,1259,1248,1067,1266,1277,1121,1176,1194,1121,1184,1197,1190,1333,1259,1203,1022,1022,1190,286,1125,1251,1259,3022,2156,2046,1373,1989,1876,3048,1892,1956,1918,1803,2088,1861,2110,2487,2120,1707,2071,2093,1881,2192,1918,2200,1891,1835,1635,2088,1705,1759,1759,2012,1861,1975,1705,1854,1886,1975,1879,1814,1979,1879,1879,1975,1906,1864,1864,1854,1918,1989,1879,1759,3062,3152,3230,3240,3532,689,3152,3062,3081,3412,3081,3083,3062,3248,3081,3062,3083,3081,370,370,2151,1654,1654,1654,1598,2272,464,1792,1933,1795,1654,2009,1608,1891,1772,1769,1751,1690,2234,1527,2038,2263,2354,2272,2234,2561,2234,1910,2271,2038,1816,1654,1720,1834,1654,2114,1751,2561,1682,1730,1844,1730,1636,1910,2272,1606,1464,2000
7,492,1496,389,1496,348,1014,845,0,464,2404,486,52,487,259,415,400,405,499,132,52,794,521,512,620,447,409,78,885,454,290,243,474,474,484,288,175,175,159,159,159,367,23,460,313,258,175,159,45,366,477,1925,1140,1620,1741,1761,1722,2252,1521,1857,1771,1720,1620,1857,1675,1713,1713,1720,1891,1713,1692,1728,1689,1812,1812,1699,2871,1857,1857,1847,1666,1864,1876,1720,1775,1793,1720,1782,1795,1789,1932,1857,1802,1620,1621,1789,880,1724,1850,1857,2972,2695,2118,1983,2528,1948,3176,1964,2496,1990,1875,2160,1933,2182,3085,2191,2246,2524,2633,2420,2731,1990,2748,2431,2374,2175,2646,2244,2298,2298,2551,1933,2514,2244,1926,2426,2514,2419,1886,2519,2418,2419,2514,2446,2403,2403,2393,1990,2529,2419,2298,3661,3750,3829,3839,3367,697,3750,3661,3680,4011,3680,3682,3661,3846,3680,3661,3682,3680,599,599,2690,2253,2253,2253,2196,2871,495,2391,2532,2393,2253,2608,2207,2489,2370,2368,2349,2289,2833,2125,2637,2862,2952,2871,2833,3160,2833,2509,2870,2637,2415,2253,2318,2433,2253,2713,2349,3160,2280,2328,2443,2328,2235,2509,2871,2205,2062,2598
8,899,1817,819,1817,778,691,1172,481,0,2835,683,429,917,689,846,761,836,176,386,429,471,198,924,593,791,176,559,1207,884,344,395,52,52,914,718,323,323,339,339,339,798,457,137,743,657,323,339,436,797,153,2106,1570,1947,2068,2088,2049,2202,1951,2184,2098,2047,1947,2184,2002,2040,2039,2047,2218,2039,2019,2055,2015,2139,2139,2026,3197,2184,2184,2174,1992,2191,2203,2047,2102,2120,2047,2109,2122,2116,2164,2184,2129,1947,1948,2116,1207,2051,2176,2184,3403,3115,2549,2332,2948,2378,3606,2395,2915,2420,2305,2591,2363,2613,3077,2622,2666,2955,3052,2840,3151,2420,3178,2850,2794,2594,3047,2664,2718,2718,2971,2363,2934,2664,2356,2845,2934,2838,2317,2939,2838,2838,2934,2865,2823,2823,2813,2420,2948,2838,2718,3988,4077,4156,4166,3798,630,4077,3988,4007,4338,4007,4009,3988,4173,4007,3988,4009,4007,932,932,3110,2580,2580,2580,2523,3197,907,2718,2859,2720,2580,2934,2534,2816,2697,2695,2676,2616,3159,2452,2964,3188,3279,3197,3159,3487,3159,2836,3197,2964,2742,2580,2645,2760,2580,3040,2676,3487,2607,2655,2770,2655,2562,2836,3198,2532,2389,2925
9,2331,2051,2237,2051,2250,3167,2304,2426,2828,0,2349,2479,2086,2297,2194,2228,2139,2864,2558,2479,3090,2886,2112,2483,2290,2773,2430,2280,2104,2722,2669,2839,2839,2092,2254,2601,2601,2585,2585,2585,2258,2449,2824,2225,2468,2601,2585,2471,2179,2841,2602,1807,2369,2276,2510,2471,2926,1464,2421,2407,2404,2369,2421,2424,2411,2461,2404,2501,2461,2441,2425,2223,2380,2380,2234,2116,2421,2421,2483,2414,2428,2439,2404,2403,2356,2404,2396,2330,2324,2567,2421,2365,2369,2370,2324,2265,2473,2485,2421,1170,1187,632,1479,1443,648,1135,761,1410,787,802,674,730,696,3759,705,1043,823,1031,1133,1706,787,890,1219,1328,1149,945,1093,1032,1032,1044,730,973,1093,626,1173,973,1233,653,956,1207,1233,973,1002,1357,1357,1188,787,1116,1233,1032,2333,2348,2326,2255,1868,2545,2348,2333,2352,2282,2352,2354,2333,2248,2352,2333,2354,2352,2213,2213,1604,2554,2554,2554,2598,2116,2096,2693,2538,2230,2554,2372,2631,2495,2346,2343,2651,2591,2436,2557,2401,2217,1796,2116,2436,2512,2436,2810,2412,2401,2449,2554,2648,2733,2554,2068,2651,2512,2581,2658,2745,2658,2558,2810,2054,2602,2641,2327
